episode,timestep,reward
8027,401400,-92.7845
8039,402000,-104.8915
8051,402600,-125.1873
8063,403200,-130.865
8075,403800,-108.2839
8087,404400,-95.5804
8099,405000,-87.3218
8111,405600,-110.0857
8123,406200,-101.1235
8135,406800,-110.8872
8147,407400,-100.0392
8159,408000,-108.019
8171,408600,-107.4669
8183,409200,-85.8639
8195,409800,-82.4908
8207,410400,-108.7759
8219,411000,-92.2874
8231,411600,-126.755
8243,412200,-124.3101
8255,412800,-107.5363
8267,413400,-101.4523
8279,414000,-108.2775
8291,414600,-97.1148
8303,415200,-100.0587
8315,415800,-111.7776
8327,416400,-91.696
8339,417000,-103.1859
8351,417600,-93.2529
8363,418200,-63.4035
8375,418800,-93.6165
8387,419400,-98.4172
8399,420000,-101.964
8411,420600,-87.1965
8423,421200,-97.8023
8435,421800,-117.8549
8447,422400,-90.7231
8459,423000,-93.5584
8471,423600,-104.4163
8483,424200,-98.0902
8495,424800,-106.8902
8507,425400,-103.7664
8519,426000,-90.0987
8531,426600,-81.0751
8543,427200,-81.9226
8555,427800,-114.9583
8567,428400,-101.9939
8579,429000,-106.4723
8591,429600,-94.41
8603,430200,-99.9835
8615,430800,-89.8302
8627,431400,-102.2191
8639,432000,-123.299
8651,432600,-103.823
8663,433200,-78.1638
8675,433800,-139.7449
8687,434400,-100.0579
8699,435000,-102.0694
8711,435600,-102.6284
8723,436200,-83.0127
8735,436800,-127.3148
8747,437400,-92.7252
8759,438000,-100.0444
8771,438600,-120.0493
8783,439200,-111.7376
8795,439800,-101.1345
8807,440400,-101.936
8819,441000,-103.1425
8831,441600,-85.2772
8843,442200,-120.8076
8855,442800,-111.6742
8867,443400,-96.2146
8879,444000,-102.804
8891,444600,-99.6166
8903,445200,-89.65
8915,445800,-96.1262
8927,446400,-88.7086
8939,447000,-110.7833
8951,447600,-89.0828
8963,448200,-96.3332
8975,448800,-81.38
8987,449400,-107.3408
8999,450000,-111.8862
9011,450600,-83.7223
9023,451200,-103.8556
9035,451800,-112.507
9047,452400,-134.0532
9059,453000,-96.3753
9071,453600,-109.6395
9083,454200,-106.415
9095,454800,-96.516
9107,455400,-101.4174
9119,456000,-95.2393
9131,456600,-81.9188
9143,457200,-138.1186
9155,457800,-108.4678
9167,458400,-105.7648
9179,459000,-107.164
9191,459600,-106.372
9203,460200,-137.3354
9215,460800,-112.6408
9227,461400,-105.6027
9239,462000,-105.8055
9251,462600,-125.909
9263,463200,-91.9487
9275,463800,-92.3722
9287,464400,-95.1148
9299,465000,-95.1212
9311,465600,-86.3995
9323,466200,-91.7728
9335,466800,-62.8874
9347,467400,-61.5337
9359,468000,-116.6614
9371,468600,-131.1221
9383,469200,-84.7365
9395,469800,-101.3449
9407,470400,-99.8171
9419,471000,-93.6652
9431,471600,-91.1881
9443,472200,-96.5127
9455,472800,-113.8622
9467,473400,-91.6919
9479,474000,-79.2466
9491,474600,-77.5676
9503,475200,-113.2052
9515,475800,-83.3983
9527,476400,-103.2964
9539,477000,-103.0681
9551,477600,-105.7618
9563,478200,-100.646
9575,478800,-84.4656
9587,479400,-110.4239
9599,480000,-97.6388
9611,480600,-82.8932
9623,481200,-101.8447
9635,481800,-92.4238
9647,482400,-125.3353
9659,483000,-100.4466
9671,483600,-78.2405
9683,484200,-88.4927
9695,484800,-81.233
9707,485400,-106.1653
9719,486000,-75.1631
9731,486600,-123.8049
9743,487200,-94.2735
9755,487800,-99.6327
9767,488400,-82.7056
9779,489000,-96.0624
9791,489600,-91.3226
9803,490200,-90.558
9815,490800,-76.7879
9827,491400,-111.2053
9839,492000,-96.8691
9851,492600,-104.4133
9863,493200,-125.5105
9875,493800,-86.3965
9887,494400,-109.0639
9899,495000,-114.8154
9911,495600,-92.8252
9923,496200,-85.9489
9935,496800,-130.3133
9947,497400,-92.9038
9959,498000,-88.3558
9971,498600,-79.6868
9983,499200,-111.0568
9995,499800,-115.0183
10007,500400,-47.9913
10019,501000,-91.5318
10031,501600,-54.4808
10043,502200,-89.7393
10055,502800,-86.831
10067,503400,-57.1681
10079,504000,-58.5603
10091,504600,-112.0745
10103,505200,-66.7394
10115,505800,-73.0313
10127,506400,-104.9916
10139,507000,-92.8746
10151,507600,-98.5669
10163,508200,-114.3648
10175,508800,-59.1946
10187,509400,-72.6452
10199,510000,-110.4388
10211,510600,-79.5462
10223,511200,-72.1145
10235,511800,-84.9404
10247,512400,-92.4417
10259,513000,-79.6406
10271,513600,-80.5444
10283,514200,-86.2275
10295,514800,-103.6227
10307,515400,-102.1151
10319,516000,-103.556
10331,516600,-99.5292
10343,517200,-102.6415
10355,517800,-78.8615
10367,518400,-94.7661
10379,519000,-79.6358
10391,519600,-93.8675
10403,520200,-98.7595
10415,520800,-104.0586
10427,521400,-89.2809
10439,522000,-88.689
10451,522600,-87.8467
10463,523200,-74.8214
10475,523800,-96.5237
10487,524400,-73.0864
10499,525000,-95.5715
10511,525600,-82.7718
10523,526200,-93.4902
10535,526800,-67.5645
10547,527400,-73.108
10559,528000,-80.0369
10571,528600,-99.9137
10583,529200,-112.8534
10595,529800,-80.6037
10607,530400,-85.2267
10619,531000,-82.2817
10631,531600,-40.1497
10643,532200,-96.174
10655,532800,-79.5184
10667,533400,-95.3733
10679,534000,-84.6563
10691,534600,-79.5513
10703,535200,-107.4292
10715,535800,-91.7189
10727,536400,-91.6267
10739,537000,-99.31
10751,537600,-70.4418
10763,538200,-82.575
10775,538800,-96.7755
10787,539400,-75.5385
10799,540000,-80.379
10811,540600,-95.8337
10823,541200,-95.7216
10835,541800,-95.8837
10847,542400,-74.1073
10859,543000,-101.8817
10871,543600,-100.0148
10883,544200,-101.2179
10895,544800,-106.9613
10907,545400,-114.1818
10919,546000,-82.7614
10931,546600,-96.0599
10943,547200,-89.3418
10955,547800,-88.6888
10967,548400,-86.3566
10979,549000,-74.912
10991,549600,-95.014
11003,550200,-88.7301
11015,550800,-89.1657
11027,551400,-68.6701
11039,552000,-78.2485
11051,552600,-87.1387
11063,553200,-77.9283
11075,553800,-68.5637
11087,554400,-66.8777
11099,555000,-84.8879
11111,555600,-85.168
11123,556200,-86.5479
11135,556800,-85.3798
11147,557400,-106.6119
11159,558000,-80.5974
11171,558600,-100.261
11183,559200,-93.8422
11195,559800,-88.4473
11207,560400,-96.9239
11219,561000,-92.8673
11231,561600,-96.895
11243,562200,-65.5379
11255,562800,-100.5872
11267,563400,-85.2411
11279,564000,-95.3094
11291,564600,-99.8596
11303,565200,-71.0605
11315,565800,-98.2494
11327,566400,-120.9563
11339,567000,-102.6412
11351,567600,-97.6009
11363,568200,-60.9264
11375,568800,-117.8575
11387,569400,-58.1777
11399,570000,-97.467
11411,570600,-84.954
11423,571200,-111.8367
11435,571800,-98.55
11447,572400,-78.7109
11459,573000,-95.5455
11471,573600,-98.9141
11483,574200,-77.3764
11495,574800,-97.6091
11507,575400,-61.6432
11519,576000,-131.1199
11531,576600,-109.6503
11543,577200,-80.1543
11555,577800,-87.4507
11567,578400,-91.7662
11579,579000,-108.6308
11591,579600,-103.3594
11603,580200,-78.8465
11615,580800,-75.3068
11627,581400,-85.7774
11639,582000,-95.8665
