episode,timestep,reward
2699,135000,-142.9109
2705,135300,-126.2368
2711,135600,-147.0872
2717,135900,-112.0036
2723,136200,-141.4749
2729,136500,-112.6774
2735,136800,-136.9551
2741,137100,-131.0211
2747,137400,-160.8476
2753,137700,-161.3414
2759,138000,-91.4535
2765,138300,-101.4825
2771,138600,-145.9293
2777,138900,-174.6021
2783,139200,-102.6897
2789,139500,-104.7859
2795,139800,-152.345
2801,140100,-140.4455
2807,140400,-167.5139
2813,140700,-127.8641
2819,141000,-144.5865
2825,141300,-142.3854
2831,141600,-106.8576
2837,141900,-164.9052
2843,142200,-148.9921
2849,142500,-122.3804
2855,142800,-136.745
2861,143100,-116.9142
2867,143400,-119.5336
2873,143700,-113.4013
2879,144000,-154.9199
2885,144300,-124.5567
2891,144600,-127.6779
2897,144900,-137.633
2903,145200,-119.6557
2909,145500,-151.919
2915,145800,-102.8718
2921,146100,-148.2648
2927,146400,-143.7062
2933,146700,-116.0009
2939,147000,-123.2971
2945,147300,-97.8035
2951,147600,-104.3775
2957,147900,-126.4391
2963,148200,-139.5804
2969,148500,-112.3932
2975,148800,-157.5314
2981,149100,-124.5048
2987,149400,-154.7179
2993,149700,-129.5526
2999,150000,-165.6531
3005,150300,-120.1732
3011,150600,-123.7394
3017,150900,-108.6586
3023,151200,-156.1965
3029,151500,-134.5293
3035,151800,-129.4402
3041,152100,-113.7438
3047,152400,-121.4147
3053,152700,-139.1447
3059,153000,-143.2124
3065,153300,-132.3247
3071,153600,-154.815
3077,153900,-135.9357
3083,154200,-146.2547
3089,154500,-126.9983
3095,154800,-143.6264
3101,155100,-95.3012
3107,155400,-127.8049
3113,155700,-165.0851
3119,156000,-133.6599
3125,156300,-137.0878
3131,156600,-153.0278
3137,156900,-120.8978
3143,157200,-154.5063
3149,157500,-142.7778
3155,157800,-109.2066
3161,158100,-111.1794
3167,158400,-142.8524
3173,158700,-128.9436
3179,159000,-131.8483
3185,159300,-110.6022
3191,159600,-150.1238
3197,159900,-137.0414
3203,160200,-97.2095
3209,160500,-81.9152
3215,160800,-132.4089
3221,161100,-109.8278
3227,161400,-102.3893
3233,161700,-172.6928
3239,162000,-156.8146
3245,162300,-127.9645
3251,162600,-128.4082
3257,162900,-124.508
3263,163200,-104.6943
3269,163500,-112.6585
3275,163800,-138.7033
3281,164100,-147.7807
3287,164400,-102.7423
3293,164700,-144.55
3299,165000,-136.8955
3305,165300,-127.8731
3311,165600,-133.5914
3317,165900,-115.8167
3323,166200,-125.2327
3329,166500,-142.3283
3335,166800,-139.9596
3341,167100,-143.4736
3347,167400,-127.5769
3353,167700,-137.9656
3359,168000,-182.2193
3365,168300,-115.0687
3371,168600,-135.836
3377,168900,-153.6311
3383,169200,-111.8409
3389,169500,-124.5411
3395,169800,-139.9664
3401,170100,-112.2867
3407,170400,-91.0428
3413,170700,-147.1927
3419,171000,-151.6636
3425,171300,-134.6935
3431,171600,-139.5728
3437,171900,-127.1439
3443,172200,-126.9382
3449,172500,-133.6517
3455,172800,-157.2545
3461,173100,-133.4221
3467,173400,-147.4822
3473,173700,-141.8719
3479,174000,-171.4485
3485,174300,-134.0946
3491,174600,-100.2198
3497,174900,-155.4349
3503,175200,-91.9824
3509,175500,-93.5388
3515,175800,-121.419
3521,176100,-141.3389
3527,176400,-120.1129
3533,176700,-101.6599
3539,177000,-123.1383
3545,177300,-139.5137
3551,177600,-139.1162
3557,177900,-101.2293
3563,178200,-120.8554
3569,178500,-125.9546
3575,178800,-127.5878
3581,179100,-157.673
3587,179400,-147.0635
3593,179700,-134.0377
3599,180000,-133.5894
3605,180300,-135.9557
3611,180600,-143.5856
3617,180900,-126.3377
3623,181200,-146.1464
3629,181500,-136.7552
3635,181800,-108.5122
